peak_mag,min_mag,mean_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,t,marker_t,offset,label,hole
5479.0205078125,394.3031921386719,1848.8150634765625,1309.8826904296875,2977.937255859375,3941.0,2090.0,4865.0,1497.0,1501.0,4.0,pitch,14
1809.5936279296875,416.822509765625,939.6227416992188,240.6217041015625,1392.7711181640625,535.0,702.0,1802.0,1537.0,1536.0,-1.0,chip,14
1718.2066650390625,804.7484130859375,1042.8189697265625,217.0694122314453,850.7085571289062,685.0,785.0,1561.0,1548.0,1547.0,-1.0,putt,14
8982.205078125,679.1001586914062,2383.23974609375,2240.142822265625,4168.29052734375,6756.0,2268.0,7093.0,1695.0,1697.0,2.0,pitch,15
1776.70166015625,674.3078002929688,1040.733642578125,199.22596740722656,1102.393798828125,824.0,665.0,1718.0,1762.0,1762.0,0.0,putt,15
1454.211181640625,368.16571044921875,1043.827392578125,335.5300598144531,347.25372314453125,1423.0,773.0,396.0,1773.0,1772.0,-1.0,putt,15
3367.1240234375,629.25830078125,1359.1163330078125,898.5730590820312,1804.2333984375,2809.0,1552.0,2720.0,1894.0,1896.0,2.0,pitch,16
1830.8702392578125,475.98529052734375,1375.3685302734375,319.74517822265625,496.4451904296875,1751.0,678.0,516.0,1924.0,1923.0,-1.0,chip,16
2034.776123046875,583.212646484375,1040.393310546875,366.2418212890625,646.677734375,779.0,1751.0,947.0,1941.0,1941.0,0.0,putt,16
2034.776123046875,583.212646484375,1040.393310546875,366.2418212890625,646.677734375,779.0,1751.0,947.0,1941.0,1947.0,6.0,putt,16
4994.91064453125,695.3632202148438,1914.6806640625,1160.85986328125,2310.09228515625,3681.0,1729.0,4112.0,2009.0,2011.0,2.0,pitch,17
1486.3546142578125,585.13330078125,1056.783447265625,205.2718505859375,682.0803833007812,677.0,1290.0,1440.0,2060.0,2059.0,-1.0,putt,17
1547.18359375,636.6867065429688,943.0818481445312,290.01318359375,846.1873779296875,741.0,1367.0,1490.0,2073.0,2072.0,-1.0,putt,17
9757.6181640625,879.7334594726562,2630.81201171875,2246.53857421875,3723.3369140625,6607.0,3308.0,7112.0,2221.0,2224.0,3.0,pitch,18
1854.1478271484375,791.6830444335938,1067.486572265625,291.291748046875,976.2896118164062,543.0,1005.0,1808.0,2287.0,2286.0,-1.0,putt,18
1993.4156494140625,847.9038696289062,1193.399658203125,351.0520324707031,878.7151489257812,884.0,1591.0,1763.0,2299.0,2298.0,-1.0,putt,18
1993.4156494140625,847.9038696289062,1193.399658203125,351.0520324707031,878.7151489257812,884.0,1591.0,1763.0,2299.0,2303.0,4.0,putt,18
